order,time
25,45867.0
50,61611.5
75,80738.0
100,95427.0
125,113896.0
150,132147.5
175,151766.0
200,168810.5
225,186988.0
250,213731.5
275,229165.5
300,250442.5
325,270159.5
350,289368.5
375,310248.5
400,333652.0
425,350452.0
450,369864.0
475,392827.5
500,410169.0
525,426644.5
550,446576.5
575,470032.0
600,489864.0
625,511202.5
650,532196.5
675,564841.5
700,567124.5
725,585195.0
750,607684.5
775,626626.5
800,652832.5
825,672930.0
850,689089.5
875,710592.5
900,730125.0
925,751325.0
950,787469.0
975,809989.0
1000,815477.5
