order,time
10,41579.5
20,71978.5
30,89261.0
40,117935.5
50,147704.5
60,179228.0
70,227936.0
80,272421.0
90,334138.5
100,362623.5
110,456096.5
120,507517.0
130,591730.0
140,692868.0
150,798267.0
160,963938.5
170,1191700.5
180,1381109.0
190,1830723.5
200,1842632.0
210,2250690.5
220,2867056.0
230,3386403.0
240,3751281.0
250,5115360.5
260,6038092.0
270,20896089.5
280,18529018.5
290,17560731.5
300,21405324.5
310,21334924.5
320,26429992.5
330,25353456.5
340,28911841.0
350,28299515.5
360,29888079.0
370,34498202.5
380,47492345.5
390,50324643.5
400,50817622.0
