order,time
4,32332.0
8,43387.5
12,52845.5
16,77422.5
20,96014.0
24,113387.0
28,129812.0
32,172510.0
36,196341.5
40,246388.0
44,307916.0
48,359344.0
52,436674.0
56,478217.0
60,639281.0
64,831806.5
68,1178393.0
72,1361631.0
76,1554019.0
80,3272762.5
84,7917521.5
88,8612118.5
92,12341444.0
96,21957803.0
100,22673047.0
104,27494304.0
108,25961626.0
112,29284497.5
116,50469060.0
120,63521111.0
124,79460096.5
128,84874680.0
132,178301986.5
136,211304205.5
140,248593307.5
144,372319303.5
148,271131355.0
152,362013305.5
156,732910446.5
160,1039191797.5
164,770468748.0
168,1108766381.5
