order,time
9,42293.5
18,69486.5
27,97360.5
36,114022.5
45,136907.0
54,181809.0
63,212619.5
72,266535.5
81,315838.5
90,398132.0
99,432494.5
108,541809.0
117,692120.5
126,772438.5
135,926052.0
144,1112786.5
153,1287999.0
162,1548108.5
171,2078779.0
180,2297347.5
189,2858760.5
198,3992776.0
207,4734656.5
216,11674536.0
225,8585025.0
234,19559228.5
243,19422191.0
252,24170902.5
261,26718946.5
270,26064811.5
279,26915684.0
288,35586650.5
297,40492859.5
306,51174261.5
315,50995751.0
324,60953113.5
333,59114358.0
342,74081976.5
