order,time
10,41022.0
20,67029.5
30,87928.5
40,109917.5
50,131187.5
60,156436.5
70,199598.0
80,243927.5
90,265149.0
100,333658.0
110,355548.5
120,412795.5
130,465516.5
140,502017.0
150,607018.0
160,701468.0
170,713814.0
180,886968.0
190,1080422.5
200,1308821.5
210,1448852.5
220,1529526.0
230,1823035.0
240,1896606.0
250,2163701.0
260,2028092.5
270,2866422.0
280,3668059.5
290,5106814.0
300,13516425.5
310,9382243.5
320,4578650.0
330,15555699.0
340,15246919.5
350,20883374.5
360,21012427.5
370,19509612.5
380,22969581.5
390,24972821.5
400,24623522.5
410,25606152.0
420,25288113.5
430,28482376.0
440,26484595.0
450,29690521.0
460,32814514.5
470,31743641.0
480,33168774.0
490,46312780.5
500,48172145.0
