order,time
10,28739.5
20,46300.5
30,63155.0
40,85507.0
50,100812.0
60,120059.5
70,144608.0
80,178759.5
90,200407.0
100,226347.5
110,263488.0
120,308956.5
130,293959.5
140,395985.0
150,428335.0
160,476076.5
170,493819.5
180,532792.0
190,529027.5
200,733626.5
210,769014.0
220,682504.5
230,862144.0
240,879983.5
250,1002663.0
260,1200320.0
270,1427394.0
280,1230790.5
290,1584405.0
300,1549347.5
310,1620384.0
320,1771832.5
330,1937390.5
340,2013955.0
350,2410376.0
360,2215848.5
370,2815162.5
380,3171400.0
390,2848464.5
400,2751384.0
410,3744190.5
420,3373574.0
430,3969777.0
440,3658342.5
450,3792349.0
460,4973008.5
470,4800580.5
480,4243997.5
490,4362862.5
500,5350839.5
