order,time
10,23530.0
20,33774.5
30,44361.5
40,56240.0
50,65075.0
60,75498.5
70,87317.5
80,97386.5
90,106194.0
100,117563.5
110,128424.5
120,139094.0
130,150839.0
140,161561.5
150,170966.5
160,182820.0
170,193199.5
180,200641.0
190,210680.5
200,219913.5
210,233226.0
220,240442.5
230,251368.0
240,261979.0
250,273241.0
260,284834.5
270,294609.0
280,303296.0
290,317218.5
300,325354.0
310,338782.0
320,350055.0
330,363041.0
340,374612.0
350,377893.0
360,390976.5
370,400092.0
380,411324.0
390,423300.0
400,433190.0
410,445073.5
420,455228.0
430,466499.5
440,474976.0
450,485873.5
460,497345.0
470,510138.5
480,520082.0
490,531724.0
500,542174.5
