order,time
7,26687.5
14,39940.0
21,57117.5
28,73373.0
35,95045.5
42,112133.5
49,140974.5
56,165427.5
63,210357.5
70,249578.0
77,277071.5
84,322028.5
91,399296.0
98,485818.0
105,568180.0
112,658827.5
119,826120.0
126,942081.5
133,1139446.5
140,1238030.5
147,1460885.5
154,1934995.5
161,2119825.5
168,2308226.5
175,2610740.5
182,2791379.0
189,3243991.5
196,4247022.0
203,4418447.5
210,5605506.0
217,5961287.0
224,6829010.0
231,8140099.0
238,8316043.0
245,10598733.0
252,10475265.5
259,13114291.0
266,11363423.0
273,15430498.5
280,18374689.0
287,16211565.5
294,21530788.0
