order,time
10,30977.0
20,48122.5
30,66785.5
40,88858.0
50,106125.0
60,132323.5
70,151953.0
80,179564.0
90,198575.0
100,226867.0
110,249531.5
120,283597.5
130,311882.5
140,366858.0
150,388894.0
160,462199.0
170,500205.0
180,531649.0
190,577303.0
200,632188.0
210,699771.5
220,765272.5
230,812696.0
240,850570.5
250,1115573.0
260,1180564.5
270,1275217.0
280,1456746.5
290,1682118.5
300,1860316.5
310,1623365.0
320,1937431.0
330,1819369.0
340,2111515.0
350,2208738.5
360,2270423.5
370,2984456.0
380,2786125.5
390,2426172.0
400,3041896.5
410,3024572.0
420,3367098.5
430,3608583.5
440,3723680.5
450,3859568.5
460,3990442.0
470,3902549.5
480,4450684.0
490,4599565.5
500,4886858.5
