order,time
25,34017.0
50,55712.5
75,72740.5
100,90831.0
125,109014.5
150,129595.5
175,148005.0
200,166321.0
225,186811.0
250,203582.0
275,224972.0
300,245131.0
325,268986.5
350,287192.5
375,306442.0
400,328942.5
425,347963.5
450,368957.5
475,390185.0
500,408480.5
525,429425.5
550,448267.5
575,471300.0
600,491489.5
625,512480.5
650,533786.0
675,554194.5
700,569544.0
725,588449.5
750,604950.5
775,628607.5
800,650511.0
825,669185.5
850,692828.5
875,712071.0
900,729966.5
925,748816.0
950,769260.0
975,787857.0
1000,811990.0
