order,time
10,24662.0
20,35844.0
30,47200.0
40,58860.5
50,68362.5
60,78460.0
70,89427.5
80,101112.5
90,110125.5
100,120932.5
110,131338.0
120,141747.0
130,153811.0
140,163119.0
150,173792.5
160,185534.0
170,196849.0
180,204935.5
190,215984.0
200,226865.0
210,237082.5
220,249365.0
230,257714.0
240,268849.5
250,278344.5
260,290251.5
270,302195.0
280,311486.5
290,323695.5
300,332922.5
310,346093.5
320,358340.5
330,369424.5
340,381498.0
350,386624.5
360,398885.5
370,409701.5
380,420489.5
390,431102.5
400,441127.0
410,451856.5
420,462693.0
430,473985.0
440,484135.5
450,493410.5
460,507217.5
470,516722.5
480,529714.0
490,543311.0
500,552218.0
