order,time
10,31741.5
20,49622.0
30,70811.5
40,91459.0
50,113325.5
60,141980.5
70,169410.0
80,199069.0
90,224274.5
100,266996.0
110,313843.5
120,345038.0
130,366211.5
140,398300.5
150,498956.5
160,584984.5
170,675938.0
180,784109.5
190,831866.5
200,836932.0
210,1101156.0
220,1356615.0
230,1317567.5
240,1587932.0
250,1835959.0
260,2101161.0
270,1952456.5
280,2436800.5
290,2358707.5
300,2393339.5
310,2834642.5
320,3152963.0
330,3554555.5
340,3475241.0
350,4242697.5
360,4013988.5
370,4970921.5
380,4713820.0
390,5067575.5
400,5783221.0
410,5567759.5
420,7025821.0
430,6262781.5
440,6606874.5
450,6879460.0
460,7883258.5
470,9656836.5
480,8600311.5
490,9674221.0
500,9151679.5
