order,time
10,28760.5
20,44137.5
30,59300.5
40,74868.5
50,88285.0
60,102201.0
70,121547.5
80,137235.0
90,147014.0
100,162647.0
110,183383.0
120,198901.0
130,219981.0
140,229388.5
150,255852.0
160,260777.5
170,274306.5
180,287973.5
190,302079.0
200,327813.5
210,341691.0
220,353708.5
230,370725.0
240,388733.0
250,415432.5
260,430177.5
270,440031.0
280,461869.5
290,473339.0
300,499240.5
310,530853.5
320,538149.5
330,557553.5
340,577543.0
350,608945.0
360,578169.0
370,633466.0
380,654270.5
390,650453.5
400,673972.5
410,691064.5
420,739331.5
430,732986.0
440,752081.0
450,779848.0
460,781955.0
470,831765.0
480,838112.0
490,845005.5
500,853129.0
