order,time
9,30349.0
18,48419.5
27,69936.0
36,90552.5
45,115843.0
54,141651.0
63,173979.5
72,216448.5
81,246844.0
90,303349.0
99,373630.5
108,458618.0
117,574743.0
126,632034.5
135,756280.0
144,945596.0
153,1158382.0
162,1256753.5
171,1465031.5
180,1638816.5
189,1974604.0
198,2492780.0
207,2729301.5
216,3009455.5
225,3190590.5
234,4172817.0
243,4596545.0
252,4935072.0
261,6711363.0
270,6657801.5
279,6780903.5
288,8156914.0
297,9783264.5
306,9037662.5
315,12194439.5
324,12835589.5
333,15770634.5
342,17001000.5
