order,time
4,21831.0
8,32440.0
12,39851.0
16,58093.5
20,67240.0
24,86510.0
28,104743.0
32,135824.5
36,157538.5
40,162875.0
44,228624.0
48,229603.5
52,367457.5
56,456432.0
60,567888.5
64,640265.0
68,876037.5
72,913040.5
76,998348.0
80,1477813.5
84,1411164.0
88,2165088.5
92,3693724.0
96,3723737.0
100,7753813.5
104,4398851.0
108,8555328.5
112,14628697.0
116,16700875.5
120,16912585.5
124,21254849.0
128,21882218.5
132,13748733.5
136,53182633.0
140,58872224.5
144,80048410.5
148,53700801.0
152,90800056.0
156,134960140.5
160,92613232.0
164,161588063.0
168,390651775.0
