order,time
10,24997.0
20,36733.0
30,47637.5
40,58966.0
50,69145.0
60,79037.5
70,89090.5
80,98569.5
90,107994.0
100,118477.5
110,129288.5
120,139829.0
130,150765.0
140,161877.0
150,171980.5
160,183254.0
170,194920.5
180,202585.0
190,212577.0
200,221588.0
210,232783.0
220,243084.0
230,252555.5
240,262979.5
250,273139.0
260,285572.5
270,297077.5
280,307581.0
290,318027.0
300,328512.5
310,340159.5
320,351193.5
330,362392.0
340,373851.0
350,379261.5
360,392431.0
370,403064.5
380,413018.0
390,423764.0
400,433370.5
410,444741.0
420,455430.5
430,466624.5
440,477361.0
450,487077.0
460,498304.5
470,509083.5
480,521745.5
490,532399.0
500,544128.5
