order,time
10,28604.0
20,43858.0
30,58145.5
40,74397.5
50,87231.5
60,101944.0
70,118468.5
80,134353.5
90,146738.0
100,161354.0
110,179113.5
120,195744.5
130,211967.0
140,228652.5
150,242084.5
160,258497.0
170,274994.5
180,284996.5
190,300674.5
200,318487.0
210,332864.5
220,347059.0
230,364527.0
240,385180.5
250,399479.5
260,417175.0
270,436630.0
280,454624.5
290,468646.0
300,490701.5
310,508975.0
320,530976.0
330,547792.0
340,564483.5
350,574850.5
360,593720.5
370,616324.5
380,634267.5
390,652505.5
400,662776.5
410,689226.5
420,709309.5
430,726994.5
440,749826.5
450,767397.0
460,783642.0
470,811803.0
480,820591.5
490,848360.0
500,860961.0
