order,time
10,31639.5
20,50811.0
30,71741.0
40,95390.0
50,118575.0
60,147236.0
70,184230.0
80,217552.0
90,251899.0
100,304712.5
110,355945.0
120,423638.5
130,510925.5
140,592728.5
150,670090.5
160,796156.5
170,914483.0
180,1106633.0
190,1348754.5
200,1549504.5
210,1704692.5
220,1883211.0
230,2216023.0
240,2513412.5
250,2743403.0
260,3109912.0
270,3283270.0
280,3782569.0
290,4236619.5
300,4671645.0
310,5317086.0
320,5657420.5
330,6188138.5
340,6616214.5
350,7594368.5
360,8573913.5
370,8802689.0
380,9522396.0
390,10444681.0
400,11280407.5
