order,time
10,31359.5
20,49723.5
30,68588.0
40,90153.0
50,111386.5
60,135423.5
70,161118.0
80,193829.5
90,221713.0
100,251803.5
110,289701.5
120,338455.5
130,392220.0
140,436519.5
150,486393.5
160,567157.0
170,657445.5
180,710870.0
190,815387.5
200,920055.5
210,1066089.5
220,1181051.0
230,1321502.5
240,1562189.0
250,1654188.5
260,1860392.5
270,2058684.5
280,2219230.5
290,2380767.0
300,2626013.0
310,2770412.5
320,2985420.5
330,3367062.5
340,3555720.0
350,3861769.5
360,4069524.0
370,4280534.0
380,4672064.0
390,5141132.5
400,5358659.0
410,5759210.5
420,6155056.5
430,6754128.0
440,6763250.5
450,7304312.5
460,7520070.5
470,8353970.0
480,9144715.5
490,8944723.5
500,10240894.5
