order,time
25,34005.5
50,54248.0
75,72546.5
100,90120.5
125,108207.5
150,129180.0
175,146709.0
200,165523.5
225,184778.5
250,202698.5
275,224702.0
300,245342.5
325,266597.0
350,285237.5
375,306978.0
400,325897.0
425,347469.5
450,366883.0
475,387456.0
500,406187.5
525,425238.0
550,446145.5
575,468122.0
600,488297.0
625,507949.5
650,528967.0
675,551046.5
700,566266.5
725,585131.5
750,607831.5
775,628905.5
800,651152.0
825,668104.0
850,689903.0
875,710499.0
900,730835.5
925,750007.0
950,769089.5
975,788795.5
1000,808298.0
