order,time
9,29487.0
18,47925.5
27,66830.5
36,89903.5
45,112038.5
54,139872.5
63,173397.0
72,212617.0
81,259216.0
90,295360.5
99,362068.5
108,449815.5
117,546254.0
126,622166.5
135,789800.0
144,881948.0
153,1136546.0
162,1215239.0
171,1469108.5
180,1839470.5
189,2008613.0
198,2396726.5
207,2686815.5
216,3014736.5
225,3500491.0
234,3932170.0
243,4397767.5
252,4848191.0
261,5765050.5
270,6237432.5
279,7388094.0
288,8356485.5
297,8836592.0
306,10180998.5
315,11560893.0
324,12742504.0
333,14512234.5
342,16239662.5
