order,time
10,30507.0
20,48500.0
30,66249.0
40,85359.0
50,104073.0
60,127739.0
70,149381.5
80,174157.0
90,195309.0
100,221171.0
110,251831.0
120,286012.0
130,321445.0
140,360979.5
150,388835.5
160,444287.0
170,469874.5
180,523700.5
190,576060.0
200,640011.5
210,684169.0
220,764861.5
230,851605.0
240,941355.0
250,1030228.0
260,1105454.5
270,1199942.5
280,1354580.5
290,1450327.0
300,1604389.0
310,1711855.5
320,1841207.0
330,1971550.5
340,2167973.0
350,2274784.5
360,2453847.5
370,2506615.0
380,2738711.0
390,2800502.0
400,3049121.5
410,3279405.0
420,3330858.5
430,3567384.0
440,3667919.0
450,3878181.5
460,4084870.5
470,4270328.5
480,4418753.0
490,4619224.0
500,4780787.5
