order,time
10,31400
20,42900
30,63300
40,72600
50,96000
60,106100
70,123500
80,178400
90,169500
100,248800
110,230700
120,303500
130,305900
140,396000
150,376600
160,425100
170,699400
180,560700
190,651200
200,1029900
210,799600
220,756000
230,1186600
240,1418300
250,1841000
260,1246900
270,1334400
280,1520000
290,1803000
300,2351300
310,1478500
320,2029100
330,4453200
340,2565300
350,2952500
360,2892300
370,2398000
380,3421600
390,3016700
400,4190100
410,4082700
420,3376900
430,3839000
440,5337400
450,6348800
460,6843600
470,5676500
480,6511400
490,8440300
