order,density,time
3,0.0,4541
3,0.3333333333333333,8303
3,0.6666666666666666,10036
3,1.0,11145
3,1.3333333333333333,12510
3,1.6666666666666667,14082
3,2.0,15191
3,2.3333333333333335,16448
3,2.6666666666666665,17972
3,3.0,18952
3,3.3333333333333335,20486
3,3.6666666666666665,21838
3,4.0,23076
3,4.333333333333333,24534
3,4.666666666666667,26095
3,5.0,27595
3,5.333333333333333,30710
3,5.666666666666667,31543
3,6.0,33511
3,6.333333333333333,80424
3,6.666666666666667,82779
3,7.0,89089
3,7.333333333333333,89898
3,7.666666666666667,94928
3,8.0,97509
3,8.333333333333334,99348
3,8.666666666666666,134745
3,9.0,174700
3,9.333333333333334,179485
3,9.666666666666666,197133
3,10.0,188802
3,10.333333333333334,126660
3,10.666666666666666,244898
3,11.0,202406
3,11.333333333333334,289298
3,11.666666666666666,307492
3,12.0,267875
3,12.333333333333334,300231
3,12.666666666666666,394432
3,13.0,287329
3,13.333333333333334,384309
3,13.666666666666666,379166
3,14.0,350646
3,14.333333333333334,382012
3,14.666666666666666,453065
3,15.0,462745
6,0.0,4490
6,0.3333333333333333,10625
6,0.6666666666666666,13159
6,1.0,15791
6,1.3333333333333333,18316
6,1.6666666666666667,21181
6,2.0,23085
6,2.3333333333333335,26563
6,2.6666666666666665,29350
6,3.0,31930
6,3.3333333333333335,34741
6,3.6666666666666665,36669
6,4.0,40262
6,4.333333333333333,44208
6,4.666666666666667,46323
6,5.0,51497
6,5.333333333333333,121357
6,5.666666666666667,127374
6,6.0,141658
6,6.333333333333333,151140
6,6.666666666666667,199245
6,7.0,302001
6,7.333333333333333,312222
6,7.666666666666667,371490
6,8.0,481343
6,8.333333333333334,393064
6,8.666666666666666,492959
6,9.0,677997
6,9.333333333333334,559663
6,9.666666666666666,768882
6,10.0,794719
6,10.333333333333334,756047
6,10.666666666666666,959791
6,11.0,932318
6,11.333333333333334,1005541
6,11.666666666666666,1123230
6,12.0,1022564
6,12.333333333333334,1255601
6,12.666666666666666,1354331
6,13.0,1307943
6,13.333333333333334,1463384
6,13.666666666666666,1526942
6,14.0,1564094
6,14.333333333333334,1730316
6,14.666666666666666,1637484
6,15.0,1919638
9,0.0,4468
9,0.3333333333333333,12503
9,0.6666666666666666,16490
9,1.0,20313
9,1.3333333333333333,24501
9,1.6666666666666667,28515
9,2.0,32074
9,2.3333333333333335,36062
9,2.6666666666666665,40215
9,3.0,43636
9,3.3333333333333335,47899
9,3.6666666666666665,52958
9,4.0,57152
9,4.333333333333333,61806
9,4.666666666666667,70560
9,5.0,163080
9,5.333333333333333,185689
9,5.666666666666667,207378
9,6.0,388792
9,6.333333333333333,409203
9,6.666666666666667,474367
9,7.0,567155
9,7.333333333333333,786677
9,7.666666666666667,933618
9,8.0,1229842
9,8.333333333333334,1194322
9,8.666666666666666,1328245
9,9.0,1507737
9,9.333333333333334,1868011
9,9.666666666666666,1800298
9,10.0,2035396
9,10.333333333333334,2097150
9,10.666666666666666,2584805
9,11.0,2870283
9,11.333333333333334,2796520
9,11.666666666666666,2877874
9,12.0,3257901
9,12.333333333333334,3296466
9,12.666666666666666,3688442
9,13.0,4053302
9,13.333333333333334,4168514
9,13.666666666666666,4253624
9,14.0,4741052
9,14.333333333333334,4710565
9,14.666666666666666,5302319
9,15.0,5265226
12,0.0,4482
12,0.3333333333333333,14047
12,0.6666666666666666,19926
12,1.0,24941
12,1.3333333333333333,29536
12,1.6666666666666667,34284
12,2.0,39432
12,2.3333333333333335,44355
12,2.6666666666666665,49790
12,3.0,55433
12,3.3333333333333335,61330
12,3.6666666666666665,66639
12,4.0,74544
12,4.333333333333333,83030
12,4.666666666666667,96144
12,5.0,221328
12,5.333333333333333,256162
12,5.666666666666667,491404
12,6.0,639731
12,6.333333333333333,667630
12,6.666666666666667,1174288
12,7.0,1395399
12,7.333333333333333,1520391
12,7.666666666666667,1995644
12,8.0,2407005
12,8.333333333333334,2825776
12,8.666666666666666,3264410
12,9.0,3546743
12,9.333333333333334,4436518
12,9.666666666666666,3942988
12,10.0,6221493
12,10.333333333333334,5571870
12,10.666666666666666,6151675
12,11.0,7090369
12,11.333333333333334,8456555
12,11.666666666666666,8593797
12,12.0,8372216
12,12.333333333333334,9555428
12,12.666666666666666,10356626
12,13.0,12469448
12,13.333333333333334,12369653
12,13.666666666666666,12564963
12,14.0,15290134
12,14.333333333333334,15158485
12,14.666666666666666,18061658
12,15.0,16820141
15,0.0,4512
15,0.3333333333333333,16387
15,0.6666666666666666,23084
15,1.0,28712
15,1.3333333333333333,35013
15,1.6666666666666667,40761
15,2.0,47011
15,2.3333333333333335,53621
15,2.6666666666666665,59855
15,3.0,67073
15,3.3333333333333335,74078
15,3.6666666666666665,82346
15,4.0,90252
15,4.333333333333333,106953
15,4.666666666666667,258641
15,5.0,302953
15,5.333333333333333,639041
15,5.666666666666667,1165654
15,6.0,1294085
15,6.333333333333333,1650814
15,6.666666666666667,1896569
15,7.0,2869703
15,7.333333333333333,3407939
15,7.666666666666667,3953571
15,8.0,5236615
