order,time
4,21491.5
8,31574.5
12,42008.0
16,55202.0
20,69099.5
24,83798.0
28,97693.5
32,123851.0
36,150801.0
40,178525.5
44,224281.5
48,280296.0
52,339358.0
56,385455.0
60,486014.0
64,621282.5
68,803921.0
72,891782.5
76,1115734.0
80,2182749.5
84,1585103.0
88,1987463.5
92,2447844.5
96,3447075.5
100,5848515.0
104,5821371.0
108,6710985.0
112,8917700.0
116,8494921.5
120,11334742.5
124,21874900.5
128,29018745.5
132,34466982.5
136,43034431.5
140,53972232.5
144,40650740.5
148,78319285.0
152,102948991.0
156,113532108.5
160,174379590.0
164,179259279.0
168,206427406.5
