order,time
5,21994.0
10,33969.0
15,46347.5
20,60521.0
25,74629.0
30,92736.0
35,110361.5
40,131983.5
45,158177.0
50,186116.5
55,216757.0
60,264560.5
65,311053.0
70,357660.5
75,452884.5
80,506828.0
85,574490.0
90,677481.5
95,896122.0
100,1000011.0
105,1295412.5
110,1461053.0
115,1802396.0
120,1979376.0
125,2213463.0
130,2553537.0
135,2870173.0
140,3469123.5
145,3958524.5
150,4801544.0
155,5352075.0
160,5804480.0
165,6972582.5
170,7566000.0
175,9232535.5
180,9066432.0
185,12291091.5
190,12929126.5
195,14902383.0
200,17404001.5
