order,time
5,21374.0
10,34312.0
15,45629.0
20,62207.5
25,76308.0
30,97540.5
35,122568.0
40,144502.5
45,168617.5
50,209938.0
55,247645.0
60,318059.5
65,372390.5
70,476542.0
75,593064.0
80,717432.5
85,874123.5
90,1044344.5
95,1195531.5
100,1586282.5
105,1848750.5
110,2351676.0
115,2676847.0
120,3444066.0
125,3747031.0
130,4745724.5
135,5982314.5
140,7044591.0
145,7679220.0
150,9203140.0
155,11855711.0
160,12785150.0
165,15866446.0
170,20490070.0
175,21701358.5
180,29071887.5
185,29571463.5
190,39120277.0
