order,time
25,118000.0
50,193600.0
75,257650.0
100,336000.0
125,393950.0
150,464450.0
175,553900.0
200,604200.0
225,666750.0
250,735850.0
275,810450.0
300,881550.0
325,935800.0
350,1009750.0
375,1094450.0
400,1177050.0
425,1237350.0
450,1344500.0
475,1371250.0
500,1491400.0
525,1560600.0
550,1618200.0
575,1657350.0
600,1791600.0
625,1841250.0
650,1936750.0
675,2033900.0
700,2045350.0
725,2105500.0
750,2182250.0
775,2258450.0
800,2360100.0
825,2382450.0
850,2480150.0
875,2576300.0
900,2570600.0
925,2718450.0
950,2766150.0
975,2871500.0
1000,2932650.0
