order,time
10,25500
20,39800
30,53300
40,70300
50,85900
60,94300
70,96600
80,113400
90,131500
100,139900
110,169400
120,153800
130,177700
140,195100
150,207700
160,250800
170,234000
180,279500
190,284100
200,276600
210,277800
220,320800
230,322300
240,417600
250,393800
260,349500
270,363000
280,432300
290,411200
300,388900
310,425200
320,447600
330,493200
340,454000
350,495200
360,516000
370,531800
380,550600
390,498600
400,558700
410,563000
420,614100
430,694600
440,731200
450,716200
460,639900
470,643700
480,711200
490,727500
