order,time
3,36107.0
5,40144.5
7,155024.5
9,170085.5
11,209729.0
13,257683.0
15,293832.5
17,328814.5
19,401386.0
21,475420.5
23,573996.5
25,673463.5
27,847501.5
29,942797.0
31,1284956.5
33,1389117.0
35,1909436.5
37,2568443.0
39,2885493.5
41,4030011.0
43,6864593.5
45,6778272.5
47,9185703.5
49,16234407.0
51,24879590.0
53,28431765.0
55,33056139.0
57,55285094.5
59,66647795.5
61,84490330.0
63,109649062.5
65,129820682.0
67,162280661.5
69,221474001.5
71,345009158.5
73,423740672.0
75,496255193.5
77,623533055.0
79,1123017235.5
81,1328825555.5
83,1217927994.5
85,1678112699.0
87,2633145120.5
89,3314166016.0
91,4118150487.0
93,6074037282.5
95,6496875631.0
97,7868708452.5
99,13082117318.0
