order,time
10,31304.0
20,49786.5
30,74342.5
40,94122.0
50,120111.0
60,140011.0
70,177832.5
80,205580.5
90,254520.5
100,292362.5
110,373959.0
120,368191.5
130,536392.5
140,543937.5
150,639066.5
160,1080493.0
170,971671.5
180,1077644.0
190,1599378.0
200,1384391.0
210,1816283.0
220,1945387.5
230,2343101.0
240,2039770.0
250,2680810.0
260,3032577.5
270,3664908.0
280,4274894.0
290,4636520.5
300,4708378.0
310,4971505.0
320,5546576.5
330,5694525.0
340,6647191.5
350,6103331.5
360,7600637.0
370,11396217.5
380,10500408.0
390,11340537.5
400,14132930.0
