order,time
25,30930.5
50,49090.0
75,68530.5
100,87111.5
125,105150.0
150,126213.5
175,144714.5
200,163062.5
225,182071.5
250,200004.0
275,220464.5
300,242613.5
325,261634.0
350,278705.0
375,300464.5
400,322273.5
425,342966.5
450,361592.0
475,380641.5
500,399155.0
525,421827.0
550,442954.5
575,463948.0
600,479676.0
625,505695.0
650,523513.5
675,545374.0
700,559973.5
725,581693.5
750,600994.0
775,621674.5
800,642672.0
825,663414.5
850,681933.5
875,704516.5
900,721860.0
925,740584.0
950,762459.5
975,783035.0
1000,803493.5
