order,time
4,20415.0
8,31200.0
12,42660.0
16,51657.0
20,67718.5
24,85664.5
28,116516.5
32,117604.0
36,149621.0
40,203552.0
44,212413.5
48,209896.0
52,366047.5
56,445180.0
60,512821.5
64,530075.5
68,3091951.0
72,760984.5
76,1047566.0
80,2514985.0
84,2791389.5
88,4336117.0
92,1940305.0
96,3643735.5
100,3120168.0
104,9297160.0
108,5786335.0
112,7439844.0
116,11711764.0
120,13209047.5
124,10143430.5
128,39635542.5
132,24710979.5
136,60460271.0
140,51675371.5
144,121519562.5
148,122682951.5
152,311088738.5
156,95596391.5
160,92189561.0
164,140239852.0
168,377410479.5
