order,time
7,26138.0
14,38343.0
21,61842.0
28,75288.0
35,93605.5
42,110544.0
49,137970.0
56,173040.0
63,216260.0
70,249346.5
77,291983.5
84,340517.5
91,353731.5
98,449330.0
105,503434.5
112,746963.5
119,750657.5
126,788422.5
133,1075945.5
140,1123092.5
147,1238687.0
154,1885600.0
161,1746977.5
168,2309478.5
175,2175189.0
182,2680421.0
189,3722564.0
196,4721293.0
203,4048785.0
210,4406583.5
217,6293309.0
224,7488682.0
231,7690444.5
238,10561321.5
245,9098286.5
252,10723241.5
259,11283622.5
266,17150480.0
273,12764474.5
280,20245735.5
287,28165895.5
294,22446264.0
