order,density,time
3,0.0,8438
3,0.3333333333333333,12736
3,0.6666666666666666,13524
3,1.0,13817
3,1.3333333333333333,14183
3,1.6666666666666667,14677
3,2.0,15030
3,2.3333333333333335,15477
3,2.6666666666666665,15677
3,3.0,16229
3,3.3333333333333335,16767
3,3.6666666666666665,17358
3,4.0,18022
3,4.333333333333333,18563
3,4.666666666666667,19125
3,5.0,20795
3,5.333333333333333,20217
3,5.666666666666667,21395
3,6.0,23363
3,6.333333333333333,23267
3,6.666666666666667,91598
3,7.0,92326
3,7.333333333333333,94265
3,7.666666666666667,96658
3,8.0,97325
3,8.333333333333334,97637
3,8.666666666666666,99347
3,9.0,99714
3,9.333333333333334,101369
3,9.666666666666666,104315
3,10.0,107552
3,10.333333333333334,112009
3,10.666666666666666,166198
3,11.0,111453
3,11.333333333333334,171252
3,11.666666666666666,172707
3,12.0,174299
3,12.333333333333334,173519
3,12.666666666666666,174911
3,13.0,179583
3,13.333333333333334,178368
3,13.666666666666666,178500
3,14.0,182725
3,14.333333333333334,242079
3,14.666666666666666,246498
3,15.0,241217
6,0.0,8709
6,0.3333333333333333,15810
6,0.6666666666666666,16423
6,1.0,16940
6,1.3333333333333333,17488
6,1.6666666666666667,18253
6,2.0,18890
6,2.3333333333333335,19601
6,2.6666666666666665,20270
6,3.0,21622
6,3.3333333333333335,21988
6,3.6666666666666665,23225
6,4.0,23627
6,4.333333333333333,25788
6,4.666666666666667,26753
6,5.0,29933
6,5.333333333333333,119883
6,5.666666666666667,125817
6,6.0,132346
6,6.333333333333333,136109
6,6.666666666666667,139662
6,7.0,148247
6,7.333333333333333,151770
6,7.666666666666667,146982
6,8.0,231666
6,8.333333333333334,235043
6,8.666666666666666,258299
6,9.0,262248
6,9.333333333333334,263921
6,9.666666666666666,270435
6,10.0,348490
6,10.333333333333334,285250
6,10.666666666666666,349309
6,11.0,378645
6,11.333333333333334,376023
6,11.666666666666666,407764
6,12.0,412272
6,12.333333333333334,460604
6,12.666666666666666,458511
6,13.0,484853
6,13.333333333333334,489138
6,13.666666666666666,531277
6,14.0,540050
6,14.333333333333334,589409
6,14.666666666666666,608653
6,15.0,611376
9,0.0,8701
9,0.3333333333333333,17854
9,0.6666666666666666,18857
9,1.0,19586
9,1.3333333333333333,20218
9,1.6666666666666667,21322
9,2.0,22055
9,2.3333333333333335,23519
9,2.6666666666666665,24591
9,3.0,26134
9,3.3333333333333335,27392
9,3.6666666666666665,29198
9,4.0,32775
9,4.333333333333333,36654
9,4.666666666666667,40554
9,5.0,156836
9,5.333333333333333,168743
9,5.666666666666667,180267
9,6.0,189728
9,6.333333333333333,189274
9,6.666666666666667,214492
9,7.0,203249
9,7.333333333333333,312750
9,7.666666666666667,370854
9,8.0,364016
9,8.333333333333334,384628
9,8.666666666666666,485412
9,9.0,555409
9,9.333333333333334,530323
9,9.666666666666666,574694
9,10.0,610881
9,10.333333333333334,647782
9,10.666666666666666,704312
9,11.0,715509
9,11.333333333333334,824233
9,11.666666666666666,860034
9,12.0,847896
9,12.333333333333334,966703
9,12.666666666666666,1104014
9,13.0,1046935
9,13.333333333333334,1169716
9,13.666666666666666,1146866
9,14.0,1433594
9,14.333333333333334,1405080
9,14.666666666666666,1277778
9,15.0,1539090
12,0.0,8738
12,0.3333333333333333,19667
12,0.6666666666666666,20804
12,1.0,21888
12,1.3333333333333333,22935
12,1.6666666666666667,23869
12,2.0,25254
12,2.3333333333333335,26916
12,2.6666666666666665,29327
12,3.0,30204
12,3.3333333333333335,32102
12,3.6666666666666665,34550
12,4.0,37875
12,4.333333333333333,39383
12,4.666666666666667,45314
12,5.0,181432
12,5.333333333333333,216027
12,5.666666666666667,236685
12,6.0,250363
12,6.333333333333333,280991
12,6.666666666666667,430697
12,7.0,483485
12,7.333333333333333,457695
12,7.666666666666667,595663
12,8.0,631351
12,8.333333333333334,697673
12,8.666666666666666,990218
12,9.0,957928
12,9.333333333333334,1105172
12,9.666666666666666,1126239
12,10.0,1347910
12,10.333333333333334,1580802
12,10.666666666666666,1390309
12,11.0,1473200
12,11.333333333333334,1889495
12,11.666666666666666,2240742
12,12.0,2708025
12,12.333333333333334,2654252
