order,time
9,30747.5
18,46357.5
27,69991.0
36,87301.0
45,114449.0
54,134050.5
63,172143.5
72,228097.0
81,268181.0
90,326567.0
99,336647.0
108,431181.5
117,566266.0
126,763354.0
135,633030.5
144,890758.0
153,1092601.5
162,1211372.0
171,1709939.5
180,2046041.5
189,2361955.5
198,2493362.0
207,3118880.0
216,2669364.5
225,3764474.5
234,3236407.5
243,5159241.5
252,5599807.5
261,6384555.0
270,6546263.0
279,8655471.0
288,11869703.5
297,11122842.0
306,9373350.5
315,13204986.0
324,16674601.0
333,10727971.0
342,16684300.5
